name,identifier,top_match,top_ent_num,score
Zentaro Holding GmbH,254900UHA2Q1NIS2U536,HOLDING COMPANY INTERROS OOO,38240,77.41935483870968
"RGF US TX, LLC",254900OLH9BRARAE5B37,,,0.0
Bauman Agri Services Inc.,894500PDZBTHESAJJS30,SAMAN AIR SERVICES COMPANY,57393,84.21052631578947
"Gibson, Dunn & Crutcher UK LLP",254900BW6KP4HBFOZJ42,,,0.0
Rahman Fund Ltd.,2549003TE01SGRJFHI78,AL-RAHMA FOUNDATION,20981,74.07407407407408
GREEN EGYPT FOR AGRICULTURAL INVESTMENT (AGREEN),254900MVR2ZB018CKS85,BALADNA AGRICULTURAL INVESTMENTS,55931,67.56756756756756
SIENNA ASSETS LIMITED,984500E51D8787CFB089,O'NEILL ASSETS CORP,37449,59.25925925925925
FIDEICOMISO FINSA V-D,4469000001F0MX0L1O54,FIDESIS LLC,47511,50.0
Toboprop Invest AB,984500Z35ABS86B2E564,TOUR INVEST LLC,58499,76.92307692307692
ME EFFICIENT INSURANCE SOLUTIONS SPÓŁKA AKCYJNA,2594003FJQ30I43XAY43,RUNC INTERNATIONAL BANKING SOLUTIONS,55051,55.42168674698795
FIZ-BUD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,259400EJN5W4O099K618,CALLLYNC SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,57210,82.10526315789474
SALUMIN ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,984500EAJ1U9F0436F32,JOINT STOCK COMPANY SALUTE,35884,14.492753623188403
BF INTERNATIONAL BEST FIELDS BEST FOOD LIMITED,984500C40CCA8852B479,INTERNATIONAL BUSINESS CORPORATION DOO BAR,50938,70.58823529411764
VOT INTERNATIONAL S.R.L.,815600538DCFB2BF5873,ORBIT INTERNATIONAL FZE,44254,88.88888888888889
UPPER CREEK LLC,254900OV4V5701TDOI07,,,0.0
BLANCHETTE RANCH LTD.,254900WJZ1HW1JYNMM84,BLANC BANK LLC,45809,53.84615384615385
"ECS Charlotte Properties, LLC",254900MSH6KFHAXOFJ78,HI-LOW PROPERTIES LTD.,23405,68.29268292682926
NSRP I BETHEL JUNCTION OWNER LLC,2549004K9B5DRJ2JF355,BETHESDA INDUSTRIAL SOLVENTS TRADING,49680,46.875
NSRP I TJM PLAZA OWNER LLC,254900H58SSHBEQN7328,"PLAZA MILENIO, S.A.",19165,51.42857142857142
Ajedrez Warrior LLC,9845000VSL4B992DJT63,GOLDEN WARRIOR SHIPPING CO. LIMITED,38397,52.63157894736843
SOCIETA' AGRICOLA LA SOVRANA S.R.L.,8156008B1ECF08F79127,"AGRICOLA RUELAS, S.P.R. DE R.I.",21577,65.21739130434783
Parkway TIC 2 LLC,254900MHB95DJX8I1H58,PARKSTROY-SOFIA OOD,31997,50.0
PRIMM PLACE APARTMENTS LLC,254900081HXVLZ6QJZ71,SWEET APARTMENTS,26468,63.1578947368421
United Global Exim Limited,254900PA9G1BKPZFER43,UNITED RICHES GLOBAL LIMITED,55948,68.42105263157895
KKR CLO 66 Ltd.,254900T03I2VFWZFOF21,,,0.0
URBOX RICHMOND BIDCO LIMITED,254900CNIRFXXPU08S48,UNITED RICHES GLOBAL LIMITED,55948,40.0
OBERHOLTZER & MARTINI SRL,815600F4EB54B3FEB926,LEBANESE MARTYR FOUNDATION,10411,44.44444444444444
CDPE Holding AB,657400CTNWZIAFUAHZ24,LLC HOLDING GPM,47832,78.26086956521739
Juniperus borealis AB,657400GFS03VE10X3B97,ALMACEN JUNIOR,12472,50.0
STRT Invest Zártkörűen Működő Részvénytársaság,984500E56BC9C4678606,CYTROX HOLDINGS ZARTKORUEN MUKODO RESZVENYTARSASAG,48069,79.16666666666666
PARKWAY TIC 1 LLC,254900QA3UEV1T9Y1V16,PARKSTROY-SOFIA OOD,31997,50.0
HedgePole AG,984500ED40F469FB1015,,,0.0
HAPPA GAMES LTD,9845001CB3E1CE2B3E19,NUMERICAL GAMES LTD.,32026,53.84615384615385
VK Zukunft MSCI World,529900B66JE2YXYTFV94,HADI'S WORLD INCORPORATED,49145,48.484848484848484
CLINTRIAL s.r.o.,648800ZTQUTL84D4TG95,,,0.0
Napoleon Resources Inc.,894500PBO6KYU2CCQG82,COSMO RESOURCES PTE. LTD.,29064,72.72727272727273
"MONOGENIX, SOCIEDADE UNIPESSOAL LDA",9845008CDDF1D385F340,"WIV, SOCIEDAD ANONIMA",44118,59.25925925925925
The Conroy Family SSAS,648800NO4TGGLDQPTB57,CONFIDERI FAMILY OFFICE,40776,58.53658536585367
STUDIO GHIOTTO - ASSOCIAZIONE DI PROFESSIONISTI,81560001D3A91B58B731,JOINT STOCK COMPANY SCIENTIFIC PRODUCTION ASSOCIATION ORION,50259,60.41666666666667
PRIMA ITALIA - DISTRIBUTORI ASSOCIATI SOCIETA' COOPERATIVA,815600C2E6D88EB71834,ASSOCIATION FOR FREE RESEARCH AND INTERNATIONAL COOPERATION,31164,60.37735849056604
The Trustee for Caco Investment Trust,9845002C05NF5DZ67676,STREET INVESTMENTS PVT LTD,44469,68.08510638297872
"VOLANTIS RENOVABLES, S.L.",9598002LWJQLSVUCN484,VOLASYS SILVER STAR,24978,48.78048780487805
NSRP I TRACY PAVILION OWNER LLC,254900ANMKFG4F9FA321,MINSK WHEEL TRACTOR PLANT OPEN JOINT STOCK COMPANY,34769,46.37681159420289
"BTL Holding, UAB",648800AHZR4VWTACUJ04,BEIT EL-MAL HOLDINGS,7115,75.0
RTJ Holding B.V.,7245001EYJ511AZGXM21,RTS-HOLDING JSC,34768,90.9090909090909
D2C HEALTHCARE LIMITED,9845009FAD2F44636941,,,0.0
C2X SINGAPORE PTE. LTD.,984500O546AT8G9BEF32,P.C.C. (SINGAPORE) PRIVATE LIMITED,11623,84.61538461538461
WisdomTree Efficient Copper Plus Copper Miners Portfolio I,254900LUX6QKJT71HQ69,JOINT STOCK COMPANY RUSSIAN COPPER COMPANY,44990,45.238095238095234
Klok Beheer B.V.,7245009BPOFCQUU4LW59,GHADIR TOSE-E SAAMANEHAYE BEHENGAAM,25946,34.78260869565217
Auribo Holding B.V.,724500FE5A7EE433LO61,ARIMERO HOLDING LIMITED,34616,82.75862068965517
